               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  22,            0.041751,           0.0056089,                   0,             0.47674,             0.47925,             0.32374,             0.11204,            0.039733,           0.0057624,                   0,             0.00944,             0.00944,             0.00944
                  23,            0.041862,           0.0056034,                   0,             0.48597,             0.47544,             0.32599,             0.11327,            0.039841,           0.0055606,                   0,           0.0094133,           0.0094133,           0.0094133
                  24,            0.041568,           0.0055732,                   0,             0.50849,             0.47725,             0.33103,             0.11441,            0.039859,           0.0053823,                   0,           0.0093867,           0.0093867,           0.0093867
                  25,             0.04159,           0.0055764,                   0,             0.50862,              0.4727,              0.3273,             0.11314,            0.039686,           0.0054215,                   0,             0.00936,             0.00936,             0.00936
                  26,            0.041332,           0.0055492,                   0,             0.50342,             0.47028,             0.32821,             0.11499,            0.039672,           0.0055408,                   0,           0.0093333,           0.0093333,           0.0093333
                  27,            0.041387,           0.0055502,                   0,             0.50648,              0.4648,             0.32481,             0.11386,            0.039881,           0.0055397,                   0,           0.0093067,           0.0093067,           0.0093067
                  28,            0.041072,           0.0055128,                   0,             0.51306,             0.46421,             0.32491,             0.11333,            0.039705,           0.0055024,                   0,             0.00928,             0.00928,             0.00928
                  29,            0.041225,           0.0055381,                   0,             0.51929,             0.46834,             0.32733,             0.11497,            0.039595,           0.0054051,                   0,           0.0092533,           0.0092533,           0.0092533
                  30,            0.040939,           0.0055127,                   0,             0.52232,             0.46775,              0.3306,             0.11604,            0.039385,           0.0054268,                   0,           0.0092267,           0.0092267,           0.0092267
                  31,            0.040873,           0.0055002,                   0,             0.52143,             0.45888,              0.3299,             0.11643,            0.039511,           0.0054171,                   0,              0.0092,              0.0092,              0.0092
                  32,            0.040926,           0.0055171,                   0,             0.51066,             0.45319,             0.32691,             0.11457,            0.039502,           0.0055311,                   0,           0.0091733,           0.0091733,           0.0091733
                  33,            0.040778,           0.0054946,                   0,             0.51269,             0.47194,             0.33128,             0.11576,            0.039401,           0.0053749,                   0,           0.0091467,           0.0091467,           0.0091467
